T,1,2,3,4,5,6,7,8,9,10
0,-0.257,0.051562,0.151,0.5035,-0.396154,-0.6715,0.462,-0.4295,-0.862182,0.24975
4,1.98,2.672562,4.61,2.5035,10.355846,5.4335,5.458,3.4185,1.783818,3.59675
8,9.721,12.159562,11.528,2.1495,36.558846,3.1545,22.094,5.7755,10.866818,14.14275
12,35.381,31.941562,43.72,24.0585,54.348846,15.8675,20.695,32.1355,29.319818,29.27175
16,56.36,56.115562,61.09,35.8445,63.157846,24.1925,100.941,39.6495,40.457818,59.81975
20,91.005,122.283562,86.068,58.7385,52.501846,32.4195,117.686,52.3715,47.641818,83.55775
24,100.11,122.400562,98.322,63.6975,69.076846,34.0645,114.856,63.6825,59.435818,96.16275
28,143.035,138.036562,121.609,88.2715,84.253846,53.5385,111.222,86.6025,98.232818,89.37975
32,134.928,133.967562,120.182,95.8755,79.639846,51.1455,95.736,76.0365,104.955818,103.47675
36,139.976,131.317562,122.998,108.6805,92.236846,44.8605,120.51,89.7315,88.149818,107.42175
40,130.487,120.164562,148.394,118.1005,81.664846,51.5225,111.933,108.3345,87.627818,104.10475
44,131.934,119.463562,160.4,119.9195,91.648846,48.8305,106.881,107.1695,107.222818,116.48375
48,111.934,132.552562,147.309,120.6355,80.623846,57.3225,118.933,126.9305,95.619818,117.39075
52,130.733,126.993562,135.471,110.9745,77.783846,57.8835,123.988,114.7785,93.026818,117.53475
56,129.114,137.081562,133.577,102.7445,72.883846,61.9455,105.963,110.8545,99.333818,120.29675
60,122.012,131.096562,136.055,123.6235,82.000846,56.5145,108.589,115.6325,106.400818,114.95375
64,130.834,123.330562,130.962,122.7685,78.536846,49.6305,113.467,115.2515,105.803818,110.76275
68,122.511,121.272562,140.414,116.2095,71.365846,52.0365,117.712,116.6495,97.757818,107.28675
72,,118.267562,126.688,115.6635,81.306846,52.4635,109.654,125.7485,92.786818,
76,,,133.347,108.9265,71.806846,54.9185,113.536,109.8045,96.230818,
80,,,127.924,120.4625,,55.9005,99.559,141.6125,109.158818,
