Time (s),2.5nM single MT,2.5nM single MT STDEV,5nM single MT,5nM single MT STDEV,2.5nM bundled MT pair,2.5nM bundled MT pair STDEV,5nM bundled MT pair,5nM bundled MT pair STDEV
0,-0.0458036,0.34571563,0.2098235,0.393828269,-0.1198524,0.472919099,-0.3013812,1.013370654
4,2.8996964,1.42270098,4.0103235,0.784037858,4.1812476,2.541112553,8.5729188,12.47681747
8,3.9268964,1.98441256,5.3260235,1.385149464,12.8150476,10.13092028,42.5384188,31.79723417
12,6.3762964,2.328742805,9.9649235,2.669943594,31.6739476,11.12042105,85.8486188,27.88815372
16,7.3713964,2.377037518,9.7646235,1.902319025,53.7628476,21.05120948,102.0981188,28.95847028
20,8.1771964,2.354813353,11.2906235,2.655497545,74.4273476,30.46066259,115.8701188,29.86919122
24,7.7923964,2.13014839,12.5919235,2.763995407,82.1808476,28.1875328,124.2873188,25.06886727
28,8.6226964,2.619482986,12.1610235,2.241632843,101.4181476,27.30717798,132.5571188,22.53888116
32,8.6049964,2.626697929,13.3559235,2.668497654,99.5943476,26.30339338,138.3568188,21.20474131
36,8.8814964,2.30048792,13.7777235,2.172989473,104.5882476,27.47696326,141.3892188,24.1765084
40,8.6939964,1.881333526,15.2845235,1.313034831,106.2333476,27.2542636,141.6868188,27.98569372
44,8.8254964,2.402409676,15.1595235,1.681435239,110.9953476,28.56818919,140.6532188,29.09711524
48,8.6824964,2.696057055,16.1189235,1.618182397,110.9251476,26.40413549,142.2650188,27.86844634
52,8.2332964,2.737230205,15.6130235,2.244434574,108.9167476,25.10864237,141.9683188,31.75270721
56,8.9924964,2.400268583,16.5238235,1.840238152,107.3794476,24.86019163,147.9682188,27.67056989
60,8.4782964,2.422771893,16.8085235,2.897208295,109.6878476,23.96456301,145.8091188,28.86743638
64,8.5936964,2.252135232,16.83251989,2.215969219,108.1347476,25.54212745,145.5732188,27.41543807
68,7.7216964,2.705740045,17.15240878,2.02593197,106.3215476,26.29985988,144.1974188,27.61411344
72,,,16.80451989,1.429629682,102.8223408,25.75971756,146.8022188,26.09018753
76,,,16.54540878,2.265464915,98.36716629,26.75131029,143.5455764,25.59657784
80,,,16.46799113,2.83665197,109.1028863,29.87217076,,
